Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.8155864 ;  ;  ;  ;  ;  ; 34.07703 ; 
0.819769 ;  ;  ;  ;  ;  ; 30.75017 ; 
0.8239516 ;  ;  ;  ;  ;  ; 27.99585 ; 
0.8281341 ;  ;  ;  ;  ;  ; 25.79711 ; 
0.8323167 ;  ;  ;  ;  ;  ; 24.08688 ; 
0.8364993 ;  ;  ;  ;  ;  ; 22.77967 ; 
0.8406819 ;  ;  ;  ;  ;  ; 21.79163 ; 
0.8448644 ;  ;  ;  ;  ;  ; 21.05049 ; 
0.8532296 ;  ;  ;  ;  ;  ; 20.09112 ; 
0.8615947 ;  ;  ;  ;  ;  ; 19.58679 ; 
0.878325 ;  ;  ;  ;  ;  ; 19.32222 ; 
0.8935344 ;  ;  ;  ;  ;  ; 19.54479 ; 
0.9087438 ;  ;  ;  ;  ;  ; 20.0139 ; 
0.9391625 ;  ;  ;  ;  ;  ; 21.47604 ; 
0.9695813 ;  ;  ;  ;  ;  ; 23.52849 ; 
1.0 ;  ;  ;  ;  ;  ; 26.19963 ; 
1.022451 ;  ;  ;  ;  ;  ; 28.65976 ; 
1.044902 ;  ;  ;  ;  ;  ; 31.65832 ; 
1.067353 ;  ;  ;  ;  ;  ; 35.35065 ; 
1.089804 ;  ;  ;  ;  ;  ; 39.97171 ; 
1.112255 ;  ;  ;  ;  ;  ; 45.87265 ; 
1.123481 ;  ;  ;  ;  ;  ; 49.45355 ; 
1.134706 ;  ;  ;  ;  ;  ; 53.56594 ; 
1.145932 ;  ;  ;  ;  ;  ; 58.34304 ; 
1.157157 ;  ;  ;  ;  ;  ; 63.96675 ; 
1.168382 ;  ;  ;  ;  ;  ; 70.66629 ; 
1.179607 ;  ;  ;  ;  ;  ; 78.73978 ; 
1.190209 ;  ;  ;  ;  ;  ; 88.00078 ; 
1.200811 ;  ;  ;  ;  ;  ; 99.35715 ; 
1.211413 ;  ;  ;  ;  ;  ; 113.5215 ; 
1.222014 ;  ;  ;  ;  ;  ; 131.5391 ; 
1.227315 ;  ;  ;  ;  ;  ; 142.4669 ; 
1.232616 ;  ;  ;  ;  ;  ; 155.0294 ; 
1.237917 ;  ;  ;  ;  ;  ; 169.589 ; 
