Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
70.38625 ;  ;  ; 0.168462 ;  ; 1.12107E-11
73.05593 ;  ;  ; 0.1838246 ;  ; 1.1636E-11
75.7256 ;  ;  ; 0.201937 ;  ; 1.20612E-11
77.74265 ;  ;  ; 0.2178673 ;  ; 1.23824E-11
78.30624 ;  ;  ; 0.2227147 ;  ; 1.24722E-11
78.50648 ;  ;  ; 0.2244821 ;  ; 1.25041E-11
78.57322 ;  ;  ; 0.2250766 ;  ; 1.25147E-11
78.59734 ;  ;  ; 0.2252921 ;  ; 1.25186E-11
78.60846 ;  ;  ; 0.2253916 ;  ; 1.25203E-11
78.62514 ;  ;  ; 0.225541 ;  ; 1.2523E-11
78.66964 ;  ;  ; 0.2259403 ;  ; 1.25301E-11
78.7957 ;  ;  ; 0.2270781 ;  ; 1.25501E-11
79.1665 ;  ;  ; 0.230483 ;  ; 1.26092E-11
80.11575 ;  ;  ; 0.2396114 ;  ; 1.27604E-11
81.24293 ;  ;  ; 0.2512822 ;  ; 1.29399E-11
82.3701 ;  ;  ; 0.2639483 ;  ; 1.31194E-11
84.8618 ;  ;  ; 0.2961061 ;  ; 1.35163E-11
87.3535 ;  ;  ; 0.3353214 ;  ; 1.39132E-11
88.17859 ;  ;  ; 0.3502263 ;  ; 1.40446E-11
88.59114 ;  ;  ; 0.35809 ;  ; 1.41103E-11
88.79741 ;  ;  ; 0.3621282 ;  ; 1.41431E-11
89.00368 ;  ;  ; 0.3662466 ;  ; 1.4176E-11
89.41623 ;  ;  ; 0.374739 ;  ; 1.42417E-11
89.82877 ;  ;  ; 0.3835205 ;  ; 1.43074E-11
90.65385 ;  ;  ; 0.4021259 ;  ; 1.44388E-11
91.47894 ;  ;  ; 0.4222549 ;  ; 1.45702E-11
92.30403 ;  ;  ; 0.4440484 ;  ; 1.47017E-11
93.12912 ;  ;  ; 0.4676824 ;  ; 1.48331E-11
93.9542 ;  ;  ; 0.4934031 ;  ; 1.49645E-11
94.70993 ;  ;  ; 0.519025 ;  ; 1.50849E-11
95.46565 ;  ;  ; 0.5468415 ;  ; 1.52052E-11
96.22138 ;  ;  ; 0.5771033 ;  ; 1.53256E-11
96.9771 ;  ;  ; 0.6100963 ;  ; 1.5446E-11
97.73283 ;  ;  ; 0.6461574 ;  ; 1.55663E-11
98.48855 ;  ;  ; 0.6856856 ;  ; 1.56867E-11
99.24428 ;  ;  ; 0.7291587 ;  ; 1.58071E-11
100.0 ;  ;  ; 0.7771369 ;  ; 1.59274E-11
100.9174 ;  ;  ; 0.8424499 ;  ; 1.60735E-11
101.8348 ;  ;  ; 0.9166264 ;  ; 1.62197E-11
102.7522 ;  ;  ; 1.001531 ;  ; 1.63658E-11
103.6696 ;  ;  ; 1.099489 ;  ; 1.65119E-11
104.587 ;  ;  ; 1.212849 ;  ; 1.6658E-11
105.5044 ;  ;  ; 1.345678 ;  ; 1.68041E-11
106.4218 ;  ;  ; 1.502341 ;  ; 1.69502E-11
107.3391 ;  ;  ; 1.688623 ;  ; 1.70963E-11
108.0897 ;  ;  ; 1.869257 ;  ; 1.72159E-11
108.8403 ;  ;  ; 2.081464 ;  ; 1.73354E-11
109.5909 ;  ;  ; 2.332969 ;  ; 1.7455E-11
109.9662 ;  ;  ; 2.475792 ;  ; 1.75148E-11
110.3415 ;  ;  ; 2.633989 ;  ; 1.75745E-11
110.7168 ;  ;  ; 2.806434 ;  ; 1.76343E-11
111.0921 ;  ;  ; 2.998402 ;  ; 1.76941E-11
111.4674 ;  ;  ; 3.209919 ;  ; 1.77539E-11
111.8427 ;  ;  ; 3.444632 ;  ; 1.78137E-11
112.218 ;  ;  ; 3.702952 ;  ; 1.78734E-11
112.5933 ;  ;  ; 3.996367 ;  ; 1.79332E-11
112.9686 ;  ;  ; 4.327243 ;  ; 1.7993E-11
113.3438 ;  ;  ; 4.701522 ;  ; 1.80527E-11
113.8025 ;  ;  ; 5.229979 ;  ; 1.81258E-11
114.2612 ;  ;  ; 5.854096 ;  ; 1.81989E-11
114.7199 ;  ;  ; 6.598486 ;  ; 1.82719E-11
115.1786 ;  ;  ; 7.4962 ;  ; 1.8345E-11
115.6373 ;  ;  ; 8.592449 ;  ; 1.8418E-11
115.8667 ;  ;  ; 9.23401 ;  ; 1.84546E-11
116.096 ;  ;  ; 9.950454 ;  ; 1.84911E-11
116.3254 ;  ;  ; 10.75462 ;  ; 1.85276E-11
116.5547 ;  ;  ; 11.66062 ;  ; 1.85641E-11
116.784 ;  ;  ; 12.68684 ;  ; 1.86007E-11
117.0133 ;  ;  ; 13.85543 ;  ; 1.86372E-11
117.2844 ;  ;  ; 15.458 ;  ; 1.86804E-11
117.5554 ;  ;  ; 17.34645 ;  ; 1.87235E-11
117.8265 ;  ;  ; 19.59458 ;  ; 1.87667E-11
118.0975 ;  ;  ; 22.3255 ;  ; 1.88099E-11
118.3686 ;  ;  ; 25.68005 ;  ; 1.88531E-11
