Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.2151122 ;  ;  ; 0.009892441 ;  ;  ; 130.7392 ; 
0.2226683 ;  ;  ; 0.01002059 ;  ;  ; 138.4183 ; 
0.2264463 ;  ;  ; 0.01009779 ;  ;  ; 142.6682 ; 
0.2302243 ;  ;  ; 0.0101845 ;  ;  ; 147.2206 ; 
0.2340024 ;  ;  ; 0.0102814 ;  ;  ; 152.1007 ; 
0.2377804 ;  ;  ; 0.01038927 ;  ;  ; 157.3361 ; 
0.2415584 ;  ;  ; 0.01050895 ;  ;  ; 162.958 ; 
0.2453364 ;  ;  ; 0.01064144 ;  ;  ; 169.0015 ; 
0.2491145 ;  ;  ; 0.01078786 ;  ;  ; 175.5058 ; 
0.2528925 ;  ;  ; 0.01094943 ;  ;  ; 182.5145 ; 
0.2566705 ;  ;  ; 0.01112759 ;  ;  ; 190.0764 ; 
0.2604485 ;  ;  ; 0.01132389 ;  ;  ; 198.2459 ; 
0.2649135 ;  ;  ; 0.01158178 ;  ;  ; 208.7686 ; 
0.2693784 ;  ;  ; 0.01187109 ;  ;  ; 220.346 ; 
0.2738434 ;  ;  ; 0.01219625 ;  ;  ; 233.1259 ; 
0.2783083 ;  ;  ; 0.01256252 ;  ;  ; 247.2835 ; 
0.2827733 ;  ;  ; 0.01297608 ;  ;  ; 263.0226 ; 
0.2872382 ;  ;  ; 0.01344414 ;  ;  ; 280.5779 ; 
0.2917032 ;  ;  ; 0.01397535 ;  ;  ; 300.2295 ; 
0.2939357 ;  ;  ; 0.01426785 ;  ;  ; 310.9441 ; 
0.2961681 ;  ;  ; 0.01458025 ;  ;  ; 322.3139 ; 
0.2999462 ;  ;  ; 0.01515916 ;  ;  ; 343.2031 ; 
0.3037242 ;  ;  ; 0.01580953 ;  ;  ; 366.424 ; 
0.3075022 ;  ;  ; 0.01654274 ;  ;  ; 392.331 ; 
0.3093912 ;  ;  ; 0.0169446 ;  ;  ; 406.4209 ; 
0.3112802 ;  ;  ; 0.01737253 ;  ;  ; 421.347 ; 
0.3131692 ;  ;  ; 0.01782871 ;  ;  ; 437.1756 ; 
0.3150582 ;  ;  ; 0.01831554 ;  ;  ; 453.9792 ; 
0.3169472 ;  ;  ; 0.01883567 ;  ;  ; 471.8377 ; 
0.3188362 ;  ;  ; 0.01939203 ;  ;  ; 490.8388 ; 
0.3207252 ;  ;  ; 0.01998789 ;  ;  ; 511.0794 ; 
