Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
19999.99 ;  ;  ; 1.19518 ; 1.98744
21092.5 ;  ;  ; 1.17903 ; 1.95866
25205.5 ;  ;  ; 1.118266 ; 1.848675
29318.5 ;  ;  ; 1.06917 ; 1.76021
29318.6 ;  ;  ; 1.069168 ; 1.760206
30000.0 ;  ;  ; 1.05349 ; 1.73247
36313.45 ;  ;  ; 0.9902816 ; 1.616038
42626.9 ;  ;  ; 0.940168 ; 1.52438
42626.92 ;  ;  ; 0.9401678 ; 1.52438
50000.0 ;  ;  ; 0.889779 ; 1.43025
59149.75 ;  ;  ; 0.8386304 ; 1.333684
68299.5 ;  ;  ; 0.797195 ; 1.25623
70000.0 ;  ;  ; 0.791097 ; 1.24441
72136.3 ;  ;  ; 0.780876 ; 1.22562
72136.31 ;  ;  ; 0.7808759 ; 1.22562
75330.3 ;  ;  ; 0.762316 ; 1.19227
75330.31 ;  ;  ; 0.762316 ; 1.19227
86444.05 ;  ;  ; 0.7188553 ; 1.11113
97557.8 ;  ;  ; 0.682709 ; 1.04439
100000.0 ;  ;  ; 0.676258 ; 1.03197
110971.0 ;  ;  ; 0.6327831 ; 0.9550393
120000.0 ;  ;  ; 0.601964 ; 0.901029
125962.0 ;  ;  ; 0.585791 ; 0.871966
125962.4 ;  ;  ; 0.58579 ; 0.8719642
140000.0 ;  ;  ; 0.554217 ; 0.814222
140617.0 ;  ;  ; 0.55305 ; 0.812047
146994.0 ;  ;  ; 0.54213 ; 0.791411
146995.0 ;  ;  ; 0.5421271 ; 0.7914061
148812.0 ;  ;  ; 0.536946 ; 0.782551
148813.0 ;  ;  ; 0.5369438 ; 0.782547
163979.0 ;  ;  ; 0.506138 ; 0.727315
163979.1 ;  ;  ; 0.5061378 ; 0.7273147
165255.0 ;  ;  ; 0.50415 ; 0.723602
170000.0 ;  ;  ; 0.495114 ; 0.707645
174364.0 ;  ;  ; 0.488744 ; 0.695844
174365.0 ;  ;  ; 0.4887426 ; 0.6958414
187824.0 ;  ;  ; 0.471249 ; 0.662867
196572.0 ;  ;  ; 0.463082 ; 0.646729
200000.0 ;  ;  ; 0.460321 ; 0.64095
202890.0 ;  ;  ; 0.455143 ; 0.632162
213275.0 ;  ;  ; 0.438185 ; 0.603182
213275.3 ;  ;  ; 0.4381844 ; 0.603181
218116.0 ;  ;  ; 0.428904 ; 0.58798
218116.5 ;  ;  ; 0.4289032 ; 0.5879786
235834.0 ;  ;  ; 0.401681 ; 0.542672
235834.2 ;  ;  ; 0.4016808 ; 0.5426716
238405.0 ;  ;  ; 0.398655 ; 0.53746
238405.4 ;  ;  ; 0.3986544 ; 0.537459
242664.0 ;  ;  ; 0.392512 ; 0.52729
242664.1 ;  ;  ; 0.3925119 ; 0.5272898
250000.0 ;  ;  ; 0.384434 ; 0.513371
257067.0 ;  ;  ; 0.377886 ; 0.501778
263084.0 ;  ;  ; 0.372978 ; 0.492903
289188.0 ;  ;  ; 0.357279 ; 0.462684
289188.1 ;  ;  ; 0.3572789 ; 0.4626839
289791.0 ;  ;  ; 0.356767 ; 0.461799
300000.0 ;  ;  ; 0.350879 ; 0.450853
304224.0 ;  ;  ; 0.34658 ; 0.443898
318567.0 ;  ;  ; 0.332052 ; 0.420634
321952.0 ;  ;  ; 0.328499 ; 0.415074
360976.0 ;  ;  ; 0.3053199 ; 0.3741504
400000.0 ;  ;  ; 0.285918 ; 0.340878
450000.0 ;  ;  ; 0.2807536 ; 0.321978
500000.0 ;  ;  ; 0.276213 ; 0.305961
550000.0 ;  ;  ; 0.2653845 ; 0.2826179
600000.0 ;  ;  ; 0.25587 ; 0.262866
700000.0 ;  ;  ; 0.24794 ; 0.236031
800000.0 ;  ;  ; 0.238303 ; 0.209748
900000.0 ;  ;  ; 0.23446 ; 0.19051
1000000.0 ;  ;  ; 0.234459 ; 0.175443
1100000.0 ;  ;  ; 0.23519 ; 0.161699
1200000.0 ;  ;  ; 0.237835 ; 0.149797
1300000.0 ;  ;  ; 0.24226 ; 0.139434
1400000.0 ;  ;  ; 0.247869 ; 0.129968
1500000.0 ;  ;  ; 0.2547 ; 0.121336
1600000.0 ;  ;  ; 0.262337 ; 0.113194
1700000.0 ;  ;  ; 0.270847 ; 0.105538
1800000.0 ;  ;  ; 0.280034 ; 0.098265
1900000.0 ;  ;  ; 0.289757 ; 0.0913198
2000000.0 ;  ;  ; 0.300101 ; 0.0847029
2150000.0 ;  ;  ; 0.3171031 ; 0.07482689
2300000.0 ;  ;  ; 0.333825 ; 0.0666576
2400000.0 ;  ;  ; 0.3462722 ; 0.06109152
2500000.0 ;  ;  ; 0.358647 ; 0.0561899
2600000.0 ;  ;  ; 0.3719148 ; 0.05130591
2700000.0 ;  ;  ; 0.385145 ; 0.0470075
2850000.0 ;  ;  ; 0.4047682 ; 0.04072441
3000000.0 ;  ;  ; 0.424308 ; 0.0355418
3125000.0 ;  ;  ; 0.4367214 ; 0.0312433
3250000.0 ;  ;  ; 0.4489899 ; 0.0276039
3375000.0 ;  ;  ; 0.4611206 ; 0.0245027
3500000.0 ;  ;  ; 0.47312 ; 0.0218444
3625000.0 ;  ;  ; 0.478049 ; 0.01916163
3750000.0 ;  ;  ; 0.4828597 ; 0.01688319
3875000.0 ;  ;  ; 0.4875587 ; 0.01493754
4000000.0 ;  ;  ; 0.492152 ; 0.0132676
4125000.0 ;  ;  ; 0.4895448 ; 0.01164205
4250000.0 ;  ;  ; 0.4870286 ; 0.01025561
4375000.0 ;  ;  ; 0.4845977 ; 0.009067545
4500000.0 ;  ;  ; 0.482247 ; 0.00804497
4625000.0 ;  ;  ; 0.4774059 ; 0.007154788
4750000.0 ;  ;  ; 0.4727407 ; 0.006383036
4875000.0 ;  ;  ; 0.4682404 ; 0.005711439
5000000.0 ;  ;  ; 0.4638954 ; 0.00512491
5140070.0 ;  ;  ; 0.4563813 ; 0.00456933
5280140.0 ;  ;  ; 0.4491882 ; 0.004086567
5280143.0 ; 0.0 ;  ; 0.449188 ; 0.004086558
5500000.0 ; 0.0213006 ;  ; 0.4384939 ; 0.00344966
5750000.0 ; 0.2169678 ;  ; 0.430466 ; 0.002959243
6000000.0 ; 0.412635 ;  ; 0.4231032 ; 0.00255517
6250000.0 ; 0.651807 ;  ; 0.4419494 ; 0.002296305
6500000.0 ; 0.890979 ;  ; 0.4614357 ; 0.00207233
7000000.0 ; 1.19299 ;  ; 0.569148 ; 0.00186482
7500000.0 ; 1.38826 ;  ; 0.660595 ; 0.00179589
8000000.0 ; 1.531 ;  ; 0.726784 ; 0.00181477
8500000.0 ; 1.62426 ;  ; 0.767774 ; 0.00185148
9000000.0 ; 1.692 ;  ; 0.798082 ; 0.0018949
9500000.0 ; 1.73276 ;  ; 0.817433 ; 0.00191586
1.0E7 ; 1.75551 ;  ; 0.836422 ; 0.00191432
1.05E7 ; 1.78737 ;  ; 0.832911 ; 0.00187988
1.1E7 ; 1.80874 ;  ; 0.8296305 ; 0.00181525
1.15E7 ; 1.83615 ;  ; 0.8151054 ; 0.00174762
1.2E7 ; 1.85806 ;  ; 0.8003351 ; 0.00164706
1.24167E7 ; 1.869144 ;  ; 0.7940429 ; 0.001565725
1.241675E7 ; 1.869146 ; 0.0 ; 0.7940421 ; 0.001565715
1.25E7 ; 1.87136 ; 2.48631E-4 ; 0.7927996 ; 0.00155027
1.3E7 ; 1.86096 ; 0.00174191 ; 0.8047842 ; 0.00143181
1.35E7 ; 1.81356 ; 0.0246349 ; 0.8334266 ; 0.00132289
1.4E7 ; 1.71694 ; 0.0927049 ; 0.863993 ; 0.00119361
1.45E7 ; 1.57697 ; 0.212684 ; 0.886753 ; 0.00107111
1.5E7 ; 1.40586 ; 0.374924 ; 0.897002 ; 9.75657E-4
1.55E7 ; 1.22268 ; 0.562404 ; 0.894882 ; 8.93616E-4
1.6E7 ; 1.0782 ; 0.703949 ; 0.899215 ; 8.23284E-4
1.65E7 ; 0.914809 ; 0.883191 ; 0.884885 ; 7.48806E-4
1.7E7 ; 0.799475 ; 0.998654 ; 0.885301 ; 6.97247E-4
1.75E7 ; 0.701828 ; 1.09765 ; 0.885175 ; 6.52618E-4
1.7903E7 ; 0.6361213 ; 1.163927 ; 0.8847994 ; 6.20633E-4
1.790301E7 ; 0.6361196 ; 1.163929 ; 0.8847994 ; 6.206322E-4
1.8E7 ; 0.620306 ; 1.17988 ; 0.884707 ; 6.13275E-4
1.85E7 ; 0.553607 ; 1.24747 ; 0.884217 ; 5.78395E-4
1.9E7 ; 0.499741 ; 1.30156 ; 0.8832736 ; 5.46911E-4
1.95E7 ; 0.46846 ; 1.3251 ; 0.8880869 ; 5.32384E-4
2.0E7 ; 0.432262 ; 1.34967 ; 0.885313 ; 5.05973E-4
