Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
170.8962 ;  ; 339.2698 ;  ; 4.534742E-5
170.9405 ;  ; 361.2368 ;  ; 4.534148E-5
170.9794 ;  ; 373.6068 ;  ; 4.533627E-5
171.0182 ;  ; 378.6863 ;  ; 4.533107E-5
171.025 ;  ; 378.7989 ;  ; 4.533016E-5
171.0459 ;  ; 377.6825 ;  ; 4.532736E-5
171.0668 ;  ; 374.3811 ;  ; 4.532456E-5
171.1086 ;  ; 361.5054 ;  ; 4.531895E-5
171.1569 ;  ; 337.3341 ;  ; 4.531248E-5
171.2051 ;  ; 305.4178 ;  ; 4.530602E-5
171.281 ;  ; 246.0153 ;  ; 4.529584E-5
171.3568 ;  ; 184.9481 ;  ; 4.528568E-5
171.3947 ;  ; 156.5432 ;  ; 4.52806E-5
171.4326 ;  ; 130.5745 ;  ; 4.527552E-5
171.4705 ;  ; 107.479 ;  ; 4.527044E-5
171.5084 ;  ; 87.45206 ;  ; 4.526536E-5
171.5463 ;  ; 70.48515 ;  ; 4.526028E-5
171.5653 ;  ; 63.08385 ;  ; 4.525774E-5
171.5842 ;  ; 56.41332 ;  ; 4.52552E-5
171.6032 ;  ; 50.36599 ;  ; 4.525266E-5
171.6221 ;  ; 44.96509 ;  ; 4.525012E-5
171.6411 ;  ; 40.1104 ;  ; 4.524758E-5
171.66 ;  ; 35.80897 ;  ; 4.524504E-5
171.6781 ;  ; 32.14222 ;  ; 4.524262E-5
171.6962 ;  ; 28.87955 ;  ; 4.524019E-5
171.7143 ;  ; 25.98385 ;  ; 4.523777E-5
171.7324 ;  ; 23.41956 ;  ; 4.523534E-5
171.7505 ;  ; 21.15297 ;  ; 4.523291E-5
171.7686 ;  ; 19.15247 ;  ; 4.523049E-5
171.7867 ;  ; 17.3887 ;  ; 4.522806E-5
171.8047 ;  ; 15.84271 ;  ; 4.522565E-5
171.8228 ;  ; 14.47276 ;  ; 4.522322E-5
171.8409 ;  ; 13.26564 ;  ; 4.52208E-5
171.859 ;  ; 12.20125 ;  ; 4.521837E-5
171.8771 ;  ; 11.26161 ;  ; 4.521594E-5
171.9133 ;  ; 9.694609 ;  ; 4.521109E-5
171.9494 ;  ; 8.4614 ;  ; 4.520625E-5
171.9856 ;  ; 7.47391 ;  ; 4.52014E-5
172.0218 ;  ; 6.674578 ;  ; 4.519655E-5
172.058 ;  ; 6.017717 ;  ; 4.51917E-5
172.0941 ;  ; 5.471003 ;  ; 4.518686E-5
172.1303 ;  ; 5.006688 ;  ; 4.518201E-5
172.1665 ;  ; 4.608208 ;  ; 4.517715E-5
172.2388 ;  ; 3.959188 ;  ; 4.516746E-5
172.3043 ;  ; 3.493981 ;  ; 4.515868E-5
172.3698 ;  ; 3.112275 ;  ; 4.51499E-5
172.4353 ;  ; 2.793515 ;  ; 4.514112E-5
172.5007 ;  ; 2.524015 ;  ; 4.513236E-5
172.5662 ;  ; 2.292895 ;  ; 4.512358E-5
172.6316 ;  ; 2.093425 ;  ; 4.511481E-5
172.6971 ;  ; 1.91934 ;  ; 4.510603E-5
172.7625 ;  ; 1.76681 ;  ; 4.509727E-5
172.8935 ;  ; 1.512184 ;  ; 4.507971E-5
173.0244 ;  ; 1.30978 ;  ; 4.506216E-5
173.1553 ;  ; 1.145959 ;  ; 4.504462E-5
173.2862 ;  ; 1.011426 ;  ; 4.502707E-5
173.401 ;  ; 0.9122782 ;  ; 4.501169E-5
173.5157 ;  ; 0.8273075 ;  ; 4.499631E-5
173.6304 ;  ; 0.7538658 ;  ; 4.498094E-5
173.7451 ;  ; 0.6899251 ;  ; 4.496557E-5
173.8599 ;  ; 0.6338094 ;  ; 4.495018E-5
173.9746 ;  ; 0.5843131 ;  ; 4.493481E-5
174.204 ;  ; 0.5011435 ;  ; 4.490414E-5
174.4335 ;  ; 0.4344072 ;  ; 4.487379E-5
174.6629 ;  ; 0.3801456 ;  ; 4.484432E-5
174.8923 ;  ; 0.3354939 ;  ; 4.481589E-5
175.1217 ;  ; 0.2984067 ;  ; 4.478807E-5
175.2925 ;  ; 0.2747445 ;  ; 4.476748E-5
175.5274 ;  ; 0.2465555 ;  ; 4.47392E-5
175.7622 ;  ; 0.2224075 ;  ; 4.471092E-5
175.9971 ;  ; 0.2015692 ;  ; 4.468264E-5
176.2319 ;  ; 0.1835199 ;  ; 4.465437E-5
176.4668 ;  ; 0.1677807 ;  ; 4.462609E-5
176.7016 ;  ; 0.1539852 ;  ; 4.459782E-5
177.1713 ;  ; 0.1310352 ;  ; 4.454126E-5
177.641 ;  ; 0.1128474 ;  ; 4.448471E-5
178.1107 ;  ; 0.09818946 ;  ; 4.442815E-5
178.5804 ;  ; 0.08620361 ;  ; 4.43716E-5
179.0501 ;  ; 0.07628691 ;  ; 4.431504E-5
179.3917 ;  ; 0.07016516 ;  ; 4.427391E-5
179.9227 ;  ; 0.06200726 ;  ; 4.420998E-5
180.4537 ;  ; 0.05511943 ;  ; 4.414604E-5
180.9847 ;  ; 0.04930468 ;  ; 4.408211E-5
181.5157 ;  ; 0.04435873 ;  ; 4.401818E-5
182.0467 ;  ; 0.0401221 ;  ; 4.395424E-5
182.5777 ;  ; 0.03646314 ;  ; 4.38903E-5
183.1087 ;  ; 0.03327727 ;  ; 4.382637E-5
183.6396 ;  ; 0.03048721 ;  ; 4.376244E-5
184.1706 ;  ; 0.02803233 ;  ; 4.369851E-5
184.7016 ;  ; 0.02586226 ;  ; 4.363457E-5
185.7635 ;  ; 0.02224192 ;  ; 4.350671E-5
186.8255 ;  ; 0.01929701 ;  ; 4.337884E-5
187.8874 ;  ; 0.01689665 ;  ; 4.325099E-5
188.6445 ;  ; 0.01546082 ;  ; 4.315983E-5
189.4015 ;  ; 0.01418234 ;  ; 4.306868E-5
190.1586 ;  ; 0.01305353 ;  ; 4.297857E-5
190.9156 ;  ; 0.01206908 ;  ; 4.289628E-5
192.4297 ;  ; 0.0103814 ;  ; 4.273596E-5
193.9437 ;  ; 0.009023229 ;  ; 4.257565E-5
195.4578 ;  ; 0.00791794 ;  ; 4.241534E-5
196.9719 ;  ; 0.007001713 ;  ; 4.225502E-5
198.486 ;  ; 0.006231597 ;  ; 4.20947E-5
200.0 ;  ; 0.00558202 ;  ; 4.193439E-5
201.8055 ;  ; 0.004932252 ;  ; 4.174322E-5
203.6109 ;  ; 0.00438777 ;  ; 4.155206E-5
205.4164 ;  ; 0.003928034 ;  ; 4.136089E-5
207.2218 ;  ; 0.003537168 ;  ; 4.117093E-5
210.8327 ;  ; 0.002915583 ;  ; 4.083332E-5
212.6381 ;  ; 0.002659636 ;  ; 4.066534E-5
214.4435 ;  ; 0.002441717 ;  ; 4.049737E-5
216.249 ;  ; 0.002241836 ;  ; 4.032938E-5
218.0544 ;  ; 0.0020709 ;  ; 4.016141E-5
221.6653 ;  ; 0.001781159 ;  ; 3.982547E-5
225.2762 ;  ; 0.001547243 ;  ; 3.948951E-5
228.887 ;  ; 0.001354748 ;  ; 3.91842E-5
232.3211 ;  ; 0.001205788 ;  ; 3.890132E-5
235.7551 ;  ; 0.001080454 ;  ; 3.861845E-5
